Περιοχή επενδυτών,Red-flags και φράσεις,Κρυπτο-υπηρεσίες
αγορές (σε αγορές / συναλλαγές),Διαγραφή αρνητικών σχολίων,Play-to-Earn (P2E) unsustainable
φθηνές μετοχές (σε συναλλαγές),Εταιρική ανακοίνωση (Fake),Metaverse land scam
οργανωμένη καθοδήγηση επενδύσεων,Προσωρινό πρόβλημα δικτύου,NFT Royalty scam
επενδυτικές συμβουλές,Αναμονή έγκρισης blockchain,Token migration scam
προσωπικός σύμβουλος,Συγχρονισμός πορτοφολιού (Sync),Rebase tokens
προσωπικός broker,Επικύρωση λογαριασμού (Validate),Reflection tokens
διαχειριστής / προσωπικός διαχειριστής,Χρέωση μετατροπής (Swap fee),Liquidity locking (Fake)
πιστοποιητικό (από την ΕΚ / ευρωπαϊκή αρχή),Τέλος διαχείρισης (Management fee),Renounced ownership (Fake)
αδειοδοτημένος από την ΕΚ,Νομικά έξοδα (Legal fees),Proxy contract exploit
πιστοποιημένος σύμβουλος,Συμβολαιογραφική πράξη,Timelock manipulation
άδεια από ΕΚ,Πιστοποιητικό γνησιότητας,Oracle manipulation
ειδικός αναλυτής (αγοράς / πώλησης),Έγγραφο εκκαθάρισης,Flash loan attack
σύμβουλος/αναλυτής/διαχειριστής της Αγοράς,Φόρος πολυτελείας,Infinite minting glitch
προσωπικό τμήμα (συναλλαγών),Διεθνής κανονισμός,Hard Rug (Code delete)
ενεργός διαχειριστής (ενεργός διαχειριστής / trader),Αίτημα από την Αρχή Ξεπλύματος,Soft Rug (Slow sell off)
δίκτυο της πλατφόρμας / της τράπεζας (και συνεργάτες),Κωδικός πρόσβασης,Unlock schedule manipulation
συμβουλές (επεν- / συναλ- / trade ideas),Remote Access (AnyDesk/TeamViewer),Vesting period bypass
σήματα επενδυτικά (sms, telegram, whatsup, viber...),Μοιράσου την οθόνη σου,Whitelist spot sale
πλατφόρμα MetaTrader (συνήθως κάλπικη) (και συνεργάτες),Εγκατάσταση λογισμικού,Bot trading algorithm
ρυθμισμένος / ρυθμιστική αρχή (όχι ακριβώς),Κακόβουλο λογισμικό,High Frequency Trading (HFT) scam
συνεργασία με ξένες / ελληνικές επενδυτικές / τράπεζες (σε συμβουλές),Spyware / Keylogger,Arbitrage triangle scam
εντολή μόνο internet,Click farm activity,Slippage tolerance exploit
απευθείας από μεταφορές / forex,Fake reviews / Testimonials,Front-end interface spoofing
συναλλαγές forex (σε συμβουλές, forex accounts),Deepfake video calls,Domain spoofing (Typosquatting)
ποσοστό / ποσοστό κέρδους / profit / portfolio / gap up / down,Celebrity impersonation,SSL certificate fake
managed account,Romance Scam (Pig Butchering),Browser extension malware
bot / algorithm / AI trading / automated / algorithmic trading,Love bombing,Clipboard hijacker
bonus / reward / refund / affiliate / commission,Emotional manipulation,Hardware wallet tampering
high yield investment / HYIP (High Yield Investment Program),Trust building phase,Seed phrase storage cloud hack
passive income / passive profit / passive returns,Victim blaming,QR code phishing
get rich quick / double your money,Gaslighting,Telegram bot scam
managed account / copy trading,Isolation from family,Discord admin impersonation
instant payouts / instant withdrawals,Urgency to act,Direct Message (DM) spam
offshore company / offshore account,Fear of Missing Out (FOMO),Fake Google Ads
exclusive invite / private sale / pre-sale,Sunk cost fallacy,Ponzi scheme app
money investments,Over-complicated explanation,Pyramid scheme tokenomics
wealth management,Technobabble,Multi-level Marketing (MLM) crypto
portfolio management,Jargon overload,Grid trading bot scam
leverage,False dilemma,Martingale strategy bot
donation (σε crypto),Social proof fabrication,Signal group pump
sponsor (σε crypto),Reciprocity (Small initial win),Insider trading group
μεταβίβαση/αγορά/πώληση μετοχών,Authority bias,Whale wallet watching
κερδοφορία,Scarcity principle,Wallet draining script
πρότυπα έργα,Consistency principle,Token approval scam
κρυπτονομίσματα,Liking principle,Fake audit report
νομίσματα,Consensus principle,Whitepaper plagiarism
μετοχές/αξίες,Confirmation bias,GitHub repository fake activity
εμπορεύματα,Availability heuristic,Botnet mining
ψηφιακός κόσμος,Optimism bias,Cryptojacking script
blockchain,Halo effect,Ransomware payment
white paper,Dunning-Kruger effect exploit,Dark web marketplace
initial coin offering / rating,Anchoring effect,Mixer / Coinjoin
trading bot / signals crypto/crypto bot,Loss aversion,Tornado Cash alternative
ico,Endowment effect,Monero (XMR) tracing scam
futures/options,Framing effect,Zcash (ZEC) fake private key
commodities,Priming,Off-ramp scam
mining,Status quo bias,On-ramp fee scam
indexes,Gambler's fallacy,Peer-to-Peer (P2P) chargeback
token,Herd behavior,OTC (Over The Counter) fake desk
stable coins,Survivorship bias,Escrow fraud
alt coins,Illusion of control,Chargeback fraud
CFD,Zero-sum bias,SIM swapping
HFT,Hindsight bias,2FA bypass phishing
meme coins,Self-serving bias,Authentication app sync scam
DEFI/ECOFI,Overconfidence effect,Session hijacking
crypto markets,Information bias,Cookie theft
hot wallets,Ambiguity effect,Man-in-the-middle attack
cold wallets,Bandwagon effect,Wi-Fi eavesdropping
watch only wallets,Decoy effect,Rogue access point
forex signals,Hyperbolic discounting,DNS spoofing
crypto signals,Identifiable victim effect,IP spoofing
binary options,Appeal to emotion,MAC address spoofing
trading signals,Appeal to novelty,Email spoofing
social trading,Appeal to wealth,SMS spoofing (Smishing)
crypto training/learning,Loaded language,Voice phishing (Vishing)
private investment club,Glittering generalities,Search Engine Poisoning
licences scam,Repetition,Malvertising
USDT,Selective perception,Drive-by download
έλεγχος πιστοληπτικής ικανότητας,Subjective validation,Botnet coordination
δάνεια σε cryptos,Wishful thinking,Command and Control (C&C)
χωρίς επίσημη άδεια,Groupthink,Rootkit installation
δεν υπό εποπτεία,Echo chamber,Trojan horse malware
unregulated market,Information overload,Worm propagation
offshore broker,Cognitive dissonance,Logic bomb
no license needed,Bait and switch,Time bomb malware
unregulated platform,Foot-in-the-door technique,Keylogging software
no tax documents,Door-in-the-face technique,Screen scraper
«πληρωμή φόρου» (συνήθως αποδεικτικό στοιχείο / fake receipts),Low-balling,Form grabbing
«τέλος για διεθνές κώδικα (Isin Codes)»,High-balling,Credential stuffing
«τέλος εξυπηρέτησης για (Blockchain, ή για ρεύμα»,Quoting out of context,Brute force attack
«τέλος που επιβάλλει η Επιτρ. Κεφαλαιαγοράς»,Cherry picking,Dictionary attack
«πρόστιμο για ξέπλυμα, συναλλαγματική ισοτιμία»,Straw man fallacy,Rainbow table attack
«κόστος για τη (Blockchain)»,Red herring,Hash collision
τέλος σύνδεσης στο χρηματιστήριο,Ad hominem (attacking skeptics),Birthday attack
τέλος αποκατάστασης μετοχής για να ρευστοποιηθεί,Slippery slope,Zero-day exploit
